Temp (F),Temp C,COP
-5,-20.55555556,1.5
0,-17.77777778,1.65
5,-15,1.82
10,-12.22222222,1.95
15,-9.444444444,2.1
20,-6.666666667,2
25,-3.888888889,2.25
30,-1.111111111,2.3
35,1.666666667,2.5
40,4.444444444,2.7
45,7.222222222,3.05
50,10,3.1
55,12.77777778,3.5
